Dataset,All_R2,Single_Config,Single_R2,All_Improvement,All_Wins
pure_sine,0.9997717539469401,relu_only,0.9562433163324991,0.04352843761444092,True
pure_sine,0.9997717539469401,fourier_only,0.9988784193992615,0.0008933345476785925,True
multi_freq,0.9995891650517782,relu_only,0.9893427491188049,0.010246415932973263,True
multi_freq,0.9995891650517782,fourier_only,0.9983648657798767,0.0012242992719014856,True
polynomial,0.9995737671852112,relu_only,0.9873250126838684,0.012248754501342773,True
polynomial,0.9995737671852112,fourier_only,0.9984394709269205,0.0011342962582906457,True
gaussian_bump,0.9998780290285746,relu_only,0.9988129933675131,0.0010650356610615308,True
gaussian_bump,0.9998780290285746,fourier_only,0.9986020723978678,0.0012759566307067871,True
damped_oscillation,0.9967154264450073,relu_only,0.9430139064788818,0.05370151996612549,True
damped_oscillation,0.9967154264450073,fourier_only,0.9859501520792643,0.010765274365743038,True
step_like,0.9998628894488016,relu_only,0.9998075763384501,5.53131103515625e-05,True
step_like,0.9998628894488016,fourier_only,0.999948779741923,-8.589029312133789e-05,False
CIFAR-10,85.63,relu_only,86.15,-0.5200000000000102,False
